constellation,condition,seed,variant,deliverable_per_snapshot,delivery_rate,non_optimal_egress_rate,stretch_dist_shared,stretch_hop_shared,isls_removed_per_snapshot,satellites_down_per_snapshot,fstate_updates_per_snapshot,compute_time_ms,loop_pairs_per_snapshot,live_minima_per_snapshot,detour_entries_per_snapshot,failure_events_per_snapshot,exception_entries_per_snapshot,exception_entries_one_pass_per_snapshot,exception_satellites_per_snapshot,exception_share_of_link_state,exception_hops_to_failure_mean,exception_hops_to_failure_max,exception_unresolved_total,failure_share_loop,failure_share_dead_end,failure_share_link_down,failure_share_hop_limit,failure_share_egress_lost,delivery_gap_vs_link_state
kuiper,isl_p0.02,2,topological_nominal,552.0,0.9529287439613526,0.031177719337156618,1.0025113921348714,1.014260189572305,43.7,0.0,0.029558383672511877,4312.731591177483,25.983333333333334,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.04707125603864737
kuiper,isl_p0.02,2,topological_nominal_progress,552.0,0.9492753623188406,0.026304071246819338,1.00110273551669,1.011686939228372,43.7,0.0,0.029558383672511877,4450.377906983097,0.0,52.1,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.050724637681159424
kuiper,isl_p0.02,2,topological_nominal_progress_exceptions,552.0,1.0,0.04405193236714976,1.0040581245553641,1.0158111833446228,43.7,0.0,0.029558383672511877,4983.179054719706,0.0,52.1,0.0,9.233333333333333,60.2,1596.2166666666667,34.56666666666667,0.002169838523644752,0.12956810631229235,1.0,0.0,,,,,,0.0
kuiper,isl_p0.02,2,topological_nominal_progress_repair,552.0,0.9992451690821256,0.05505363347937755,1.0075289969830517,1.0211635817163776,43.7,0.0,0.029558383672511877,4452.4516488115,0.0,0.15,85.9,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0007548309178744272
kuiper,isl_p0.02,2,topological_nominal_progress_repair_exceptions,552.0,1.0,0.05546497584541063,1.0076747870808855,1.0212794984239242,43.7,0.0,0.029558383672511877,5297.944823652506,0.0,0.15,85.9,9.233333333333333,0.18333333333333332,20.9,0.18333333333333332,6.608035371011149e-06,0.0,0.0,0.0,,,,,,0.0
kuiper,isl_p0.02,2,topological_observed,552.0,1.0,0.012228260869565218,1.0006067893929076,1.0110589464329907,43.7,0.0,0.029558383672511877,4176.865905895829,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,2,topological_observed_progress,552.0,1.0,0.012228260869565218,1.0006067893929076,1.0110589464329907,43.7,0.0,0.029558383672511877,4325.568566688647,0.0,0.0,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,3,dra,552.0,0.8764492753623189,0.27235772357723576,1.0339101847786376,1.000273390730207,50.86666666666667,0.0,0.029558383672511877,1251.5767400463421,68.2,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.12355072463768113
kuiper,isl_p0.02,3,explicit_r1,552.0,1.0,0.0,1.0,1.011142155965188,50.86666666666667,0.0,0.7794997360858601,4179.61333586524,0.0,,,,,,,,,,,,,,,,0.0
kuiper,isl_p0.02,3,explicit_r15,552.0,0.8961654589371981,0.5330009096728547,1.3060804453259682,1.2713048638758921,50.86666666666667,0.0,0.7111606357398392,937.9680072267851,0.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.10383454106280188
kuiper,isl_p0.02,3,link_state,552.0,1.0,0.0,1.0,1.011142155965188,50.86666666666667,0.0,32.6961761773503,8350.24546571076,0.0,,,,,,,,,,,,,,,,0.0
